Episode 425/500 | Reward: -315.0 | Epsilon: 0.100
Episode 426/500 | Reward: 51.0 | Epsilon: 0.100
Episode 427/500 | Reward: -325.0 | Epsilon: 0.100
Episode 428/500 | Reward: -335.0 | Epsilon: 0.100
Episode 429/500 | Reward: -310.0 | Epsilon: 0.100
Episode 430/500 | Reward: -135.0 | Epsilon: 0.100
Episode 431/500 | Reward: 35.0 | Epsilon: 0.100
Episode 432/500 | Reward: 95.0 | Epsilon: 0.100
Episode 433/500 | Reward: 95.0 | Epsilon: 0.100
Episode 434/500 | Reward: -325.0 | Epsilon: 0.100
Episode 435/500 | Reward: -44.0 | Epsilon: 0.100
Episode 436/500 | Reward: -320.0 | Epsilon: 0.100
Episode 437/500 | Reward: 14.0 | Epsilon: 0.100
Episode 438/500 | Reward: -208.0 | Epsilon: 0.100
Episode 439/500 | Reward: 19.0 | Epsilon: 0.100
Episode 440/500 | Reward: 31.0 | Epsilon: 0.100
Episode 441/500 | Reward: 95.0 | Epsilon: 0.100
Episode 442/500 | Reward: -36.0 | Epsilon: 0.100
Episode 443/500 | Reward: -80.0 | Epsilon: 0.100
Episode 444/500 | Reward: -310.0 | Epsilon: 0.100
Episode 445/500 | Reward: 63.0 | Epsilon: 0.100
Episode 446/500 | Reward: -114.0 | Epsilon: 0.100
Episode 447/500 | Reward: -9.0 | Epsilon: 0.100
Episode 448/500 | Reward: -10.0 | Epsilon: 0.100
Episode 449/500 | Reward: 91.0 | Epsilon: 0.100
Episode 450/500 | Reward: -335.0 | Epsilon: 0.100
Episode 451/500 | Reward: -189.0 | Epsilon: 0.100
Episode 452/500 | Reward: -41.0 | Epsilon: 0.100
Episode 453/500 | Reward: 91.0 | Epsilon: 0.100
Episode 454/500 | Reward: -22.0 | Epsilon: 0.100
Episode 455/500 | Reward: 51.0 | Epsilon: 0.100
Episode 456/500 | Reward: 14.0 | Epsilon: 0.100
Episode 457/500 | Reward: -325.0 | Epsilon: 0.100
Episode 458/500 | Reward: 47.0 | Epsilon: 0.100
Episode 459/500 | Reward: -90.0 | Epsilon: 0.100
Episode 460/500 | Reward: -335.0 | Epsilon: 0.100
Episode 461/500 | Reward: -56.0 | Epsilon: 0.100
